orang;A1;A2;A3;A4;A5;A6;A7;A8
1;2;2;1;1;1;1;1;1
2;1;2;1;1;1;1;1;1
3;4;3;3;3;1;3;2;3
4;3;2;2;1;1;1;1;2
5;1;2;1;2;1;1;1;2
6;3;2;1;2;2;2;2;1
7;3;2;1;3;2;3;1;2
8;3;3;3;3;2;3;2;2
9;1;1;1;1;1;1;1;2
10;3;4;3;4;3;2;2;3
11;2;3;3;3;2;3;2;3
12;4;3;3;3;2;3;2;3
13;1;2;1;1;1;1;1;1
14;3;2;1;3;1;2;1;3
15;3;2;1;2;1;2;1;2
16;3;3;3;3;3;3;3;2
17;4;3;3;3;2;3;3;3
18;3;2;2;1;1;1;1;1
19;2;2;1;2;1;1;1;1
20;2;3;1;1;1;1;1;2
21;4;3;2;3;1;3;2;3
22;1;1;1;1;1;1;1;1
23;3;3;3;3;3;3;2;3
24;2;2;3;2;2;2;2;2
25;2;1;2;2;1;1;1;1
26;1;3;1;2;1;2;1;1
27;3;3;2;3;1;2;1;2
