;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
2794;2795;115.0;0.0;USA;14000000.0;13640000.0;6011;39.0;25.0;905;0.0;1000.0;848.0;534.0;3267;6.9;Good
2001;2002;117.0;0.0;USA;25000000.0;777423.0;5841;57.0;28.0;942;162.0;2000.0;878.0;745.0;4351;7.2;Good
2374;2375;132.0;2.0;UK;25000000.0;8600000.0;17982;95.0;29.0;1000;79.0;14000.0;12000.0;1000.0;28094;7.0;Good
3008;3009;132.0;0.0;China;12000000.0;119922.0;8429;62.0;149.0;0;14.0;52.0;32.0;3.0;91;7.7;Good
527;528;136.0;1.0;USA;75000000.0;134006721.0;259492;415.0;122.0;51000;0.0;12000.0;2000.0;904.0;15999;7.4;Good
4449;4450;106.0;0.0;Argentina;1400000.0;304124.0;2720;37.0;78.0;57;33.0;341.0;5.0;3.0;358;6.7;Good
3301;3302;114.0;2.0;USA;;3420871.0;14100;81.0;46.0;0;6.0;970.0;906.0;633.0;3824;7.4;Good
1845;1846;107.0;3.0;UK;26000000.0;45506619.0;225102;862.0;197.0;16000;0.0;1000.0;596.0;577.0;3066;7.8;Good
2721;2722;92.0;0.0;USA;20000000.0;4002955.0;33745;198.0;59.0;0;6.0;890.0;729.0;577.0;3654;6.2;Good
4118;4119;60.0;0.0;UK;;;437;20.0;4.0;450;;40.0;37.0;23.0;158;7.6;Good
4405;4406;88.0;0.0;USA;1500000.0;7362100.0;60295;232.0;110.0;0;387.0;436.0;25.0;18.0;479;7.4;Good
3309;3310;84.0;0.0;USA;9000000.0;11860839.0;5156;21.0;67.0;0;64.0;2000.0;892.0;748.0;4617;5.4;Fair
59;60;158.0;0.0;USA;200000000.0;166112167.0;283418;1055.0;367.0;13000;776.0;1000.0;468.0;310.0;2144;5.8;Fair
4068;4069;125.0;2.0;USA;3000000.0;;109335;241.0;183.0;0;0.0;516.0;417.0;180.0;1328;8.3;Excellent
2570;2571;105.0;0.0;USA;20000000.0;13854000.0;21079;55.0;15.0;818;121.0;11000.0;3000.0;384.0;14677;5.2;Fair
2507;2508;108.0;2.0;USA;34000000.0;19693891.0;12993;107.0;50.0;476;19.0;973.0;954.0;505.0;3344;4.9;Fair
433;434;162.0;0.0;USA;65000000.0;33048353.0;301279;589.0;377.0;12000;21000.0;21000.0;15000.0;495.0;36928;7.7;Good
2073;2074;100.0;1.0;UK;23000000.0;2708188.0;8924;43.0;155.0;0;350.0;201.0;123.0;30.0;365;6.2;Good
1790;1791;110.0;4.0;UK;27000000.0;2775593.0;61269;98.0;135.0;0;53.0;480.0;261.0;87.0;858;6.5;Good
2343;2344;106.0;1.0;Spain;;54734.0;20821;62.0;140.0;0;448.0;9000.0;750.0;648.0;10982;5.7;Fair
573;574;125.0;0.0;Germany;70000000.0;62647540.0;143525;657.0;262.0;0;0.0;15000.0;383.0;210.0;15850;7.1;Good
1916;1917;97.0;1.0;USA;25000000.0;48237389.0;63969;126.0;129.0;0;29.0;15000.0;852.0;816.0;18789;5.5;Fair
1401;1402;121.0;2.0;USA;35000000.0;144731527.0;128010;136.0;68.0;0;503.0;808.0;277.0;94.0;1446;6.7;Good
167;168;122.0;6.0;USA;130000000.0;122512052.0;146352;288.0;351.0;42000;209.0;17000.0;12000.0;934.0;31958;5.8;Fair
258;259;119.0;0.0;USA;120000000.0;98780042.0;136019;443.0;447.0;14000;1000.0;11000.0;1000.0;741.0;13391;5.8;Fair
2236;2237;106.0;0.0;USA;20000000.0;21200000.0;34774;162.0;59.0;1000;835.0;1000.0;967.0;458.0;3598;6.8;Good
2884;2885;87.0;1.0;USA;3000000.0;1200000.0;922;23.0;19.0;107;29.0;683.0;155.0;147.0;1139;5.1;Fair
1892;1893;115.0;1.0;USA;25000000.0;55973336.0;57040;365.0;70.0;0;43.0;5000.0;848.0;775.0;9082;6.1;Good
4716;4717;102.0;2.0;France;;;389;1.0;18.0;36;12.0;541.0;8.0;2.0;553;7.2;Good
2832;2833;100.0;5.0;South Korea;13400000.0;163591.0;912;17.0;4.0;502;26.0;898.0;391.0;385.0;2895;3.6;Bad
4361;4362;96.0;4.0;USA;1800000.0;;22764;91.0;62.0;511;88.0;595.0;356.0;196.0;1432;5.5;Fair
