UNIXTime;Data;Humidity;Radiation;Temperature;Pressure;WindDirection(Degrees);Speed;duration(minute)
1472839505;09/02/2016 00:00;34;463.3;60;30.46;73.94;1.12;750
1472925903;09/03/2016 00:00;90;451.16;57;30.44;266.07;13.5;748
1473012303;09/04/2016 00:00;89;450.49;57;30.47;96.36;2.25;747
1473098703;09/05/2016 00:00;75;466.48;56;30.43;272.12;5.62;747
1473185118;09/06/2016 00:00;41;475.69;60;30.41;123.65;2.25;746
1473271522;09/07/2016 00:00;97;335.14;52;30.44;111.66;5.62;745
1473347124;09/08/2016 00:00;75;2.01;43;30.4;190.63;3.37;743
1473617119;09/11/2016 00:00;51;490.87;57;30.48;34.15;2.25;740
1473703521;09/12/2016 00:00;61;454.42;60;30.5;335.78;4.5;739
1473789903;9/13/2016 00:00 ;65;370.08;59;30.46;345.5;5.62;737
1473876304;9/14/2016 00:00;74;449.18;55;30.43;1;1.12;736
1473962704;9/15/2016 00:00;99;92.16;50;30.44;174.78;;736
1474135504;9/17/2016 00:00;101;207.86;55;30.48;74.28;9;734
1474221903;9/18/2016 00:00;79;448.84;60;30.47;75.62;4.5;732
1474308309;9/19/2016 00:00;20;472.3;65;30.44;159.88;3.37;731
1474394704;9/20/2016 00:00;43;471.33;58;30.41;126.51;3.37;730
1474481106;9/21/2016 00:00;91;458.2;56;30.41;351.8;2.25;729
1474567519;9/22/201600:00;23;467.47;62;30.42;117.99;6.75;728
1474653919;9/23/201600:00;101;420.58;54;30.46;58.32;5.62;726
1474740320;9/24/201600:00;88;421.08;60;30.48;116.55;1.12;725
1474826719;9/25/201600:00;30;452.32;61;30.48;121.41;6.75;724
1474913122;9/26/201600:00;98;454.87;52;30.44;176.52;3.37;723
1474999520;9/27/201600:00;79;451.12;56;30.39;97.78;1.12;722
1475085920;9/28/201600:00;62;446.9;59;30.41;55.89;6.75;721
1475172318;9/29/201600:00;40;458.27;59;30.45;74.63;1.12;720
1475345121;10/01/2016 00:00;101;366.92;53;30.47;32.56;3.37;718
1475431521;10/02/2016 00:00;96;376.57;55;30.46;63.86;10.12;716
1475517922;10/03/2016 00:00;90;294.95;53;30.45;119.89;11.25;715
1475604323;10/04/2016 00:00;99;117.65;52;30.45;321.2;1.12;714
1475690719;10/05/2016 00:00;100;252.93;55;30.46;133.96;11.25;714
1475777128;10/06/2016 00:00;90;230.73;52;30.48;178.54;3.37;712
1475863521;10/07/2016 00:00;80;441.39;56;30.43;96.06;2.25;711
1475949925;10/08/2016 00:00;83;253.8;52;30.42;135.21;3.37;710
1476036328;10/09/2016 00:00;67;372.15;58;30.43;219.59;4.5;708
