Negara Tujuan;2002;2003;2004;2005;2006
Jepang;16705,9;19919,4;22612,1;27312,8;35295,7
Hongkong;4098,5;6799,6;7367,3;9408,6;10985,2
Korea Selatan;7461,7;7856,9;11669,3;14376,6;21314,1
Taiwan;12780,3;15607,8;17765,5;17895,8;26723,8
Tiongkok1);2531,4;534;1473,1;2503,2;6656,5
Thailand;3822,1;4266,3;4787,2;6404,5;8475,1
Pilipina;3131,6;3082,9;3603,1;3906,1;5818,2
Malaysia;3285,4;5174,2;6112,8;7399,8;8782,6
India;5059,5;7812,7;10674,1;16255,4;20742,4
Amerika Serikat;1074,6;1913,6;1959,9;2050,3;3740,8
Belanda;1785,9;1881;1105,7;2138,7;5690,9
Italia;2786,5;4536,4;5198,1;6285,5;7637,8
Spanyol;2720,1;2938,3;2775,7;3317;4444,9
Lainnya;5881,4;6698,5;8526;9789,8;17701
